year,sex,features,work_pop
2018,H,14 a 29 anos,18579915.02339871
2018,H,30 a 49 anos,27743202.481175028
2018,H,50 a 59 anos,8655983.031037461
2018,H,60 anos ou mais,4308652.425837659
2018,M,14 a 29 anos,14552511.723721195
2018,M,30 a 49 anos,22920314.655975796
2018,M,50 a 59 anos,6513811.423501714
2018,M,60 anos ou mais,2347598.1596703455
2019,H,14 a 29 anos,18686999.887041297
2019,H,30 a 49 anos,28067680.588988815
2019,H,50 a 59 anos,8897053.073864078
2019,H,60 anos ou mais,4531215.600029051
2019,M,14 a 29 anos,14736287.7669222
2019,M,30 a 49 anos,23521794.387419093
2019,M,50 a 59 anos,6783640.913878484
2019,M,60 anos ou mais,2444654.4093847377
2020,H,14 a 29 anos,16945275.024146587
2020,H,30 a 49 anos,27485016.891221765
2020,H,50 a 59 anos,8622133.938510824
2020,H,60 anos ou mais,4137298.8703513346
2020,M,14 a 29 anos,12859408.034766812
2020,M,30 a 49 anos,22019019.825478207
2020,M,50 a 59 anos,6303563.080558476
2020,M,60 anos ou mais,2124763.5172847398
2021,H,14 a 29 anos,17570215.54794959
2021,H,30 a 49 anos,28264727.481398184
2021,H,50 a 59 anos,8990176.226110999
2021,H,60 anos ou mais,4290953.87059799
2021,M,14 a 29 anos,13410748.860018494
2021,M,30 a 49 anos,22720875.604749024
2021,M,50 a 59 anos,6591058.776640445
2021,M,60 anos ou mais,2231160.573712834
2022,H,14 a 29 anos,17843600.355853762
2022,H,30 a 49 anos,28692991.263731956
2022,H,50 a 59 anos,9152285.217323806
2022,H,60 anos ou mais,4554884.708402077
2022,M,14 a 29 anos,13954931.492058508
2022,M,30 a 49 anos,23587869.648549665
2022,M,50 a 59 anos,6892790.652395353
2022,M,60 anos ou mais,2577182.8904755586
2023,H,14 a 29 anos,17674030.650905117
2023,H,30 a 49 anos,29081504.85498928
2023,H,50 a 59 anos,9499230.901510099
2023,H,60 anos ou mais,5060375.0030667605
2023,M,14 a 29 anos,13770621.229792567
2023,M,30 a 49 anos,23902694.178613394
2023,M,50 a 59 anos,7296975.963772105
2023,M,60 anos ou mais,2870970.881808626
