year,sex,degree,work_pop
2018,H,Sem instrução ou fundamental incompleto,17796639.906296544
2018,H,Ensino fundamental completo ou médio incompleto,10322442.876757614
2018,H,Ensino médio completo ou superior incompleto,22561667.665478505
2018,H,Ensino superior completo,8607002.51291606
2018,M,Sem instrução ou fundamental incompleto,8985535.486327644
2018,M,Ensino fundamental completo ou médio incompleto,6731355.641033133
2018,M,Ensino médio completo ou superior incompleto,19795287.055806607
2018,M,Ensino superior completo,10822057.779701827
2019,H,Sem instrução ou fundamental incompleto,17257474.199538037
2019,H,Ensino fundamental completo ou médio incompleto,10459187.49623791
2019,H,Ensino médio completo ou superior incompleto,23484849.22247904
2019,H,Ensino superior completo,8981438.231668262
2019,M,Sem instrução ou fundamental incompleto,8707495.179160098
2019,M,Ensino fundamental completo ou médio incompleto,6777645.555758654
2019,M,Ensino médio completo ou superior incompleto,20661043.503786802
2019,M,Ensino superior completo,11340193.23889929
2020,H,Sem instrução ou fundamental incompleto,14708057.619998273
2020,H,Ensino fundamental completo ou médio incompleto,9280264.324246926
2020,H,Ensino médio completo ou superior incompleto,23769068.90809473
2020,H,Ensino superior completo,9432333.871891003
2020,M,Sem instrução ou fundamental incompleto,6830162.586923255
2020,M,Ensino fundamental completo ou médio incompleto,5465758.640775111
2020,M,Ensino médio completo ou superior incompleto,19504605.04610599
2020,M,Ensino superior completo,11506228.184283955
2021,H,Sem instrução ou fundamental incompleto,14827394.731470834
2021,H,Ensino fundamental completo ou médio incompleto,9951157.188399062
2021,H,Ensino médio completo ou superior incompleto,24233725.909966197
2021,H,Ensino superior completo,10103795.296220422
2021,M,Sem instrução ou fundamental incompleto,6914318.463516158
2021,M,Ensino fundamental completo ou médio incompleto,5942411.609327684
2021,M,Ensino médio completo ou superior incompleto,20050463.92510648
2021,M,Ensino superior completo,12046649.81717056
2022,H,Sem instrução ou fundamental incompleto,14990300.088013276
2022,H,Ensino fundamental completo ou médio incompleto,10075188.244471082
2022,H,Ensino médio completo ou superior incompleto,24967936.21007309
2022,H,Ensino superior completo,10210337.002754193
2022,M,Sem instrução ou fundamental incompleto,7117639.698181886
2022,M,Ensino fundamental completo ou médio incompleto,6055569.192629153
2022,M,Ensino médio completo ou superior incompleto,21079138.85970054
2022,M,Ensino superior completo,12760426.932967082
2023,H,Sem instrução ou fundamental incompleto,14704744.472262103
2023,H,Ensino fundamental completo ou médio incompleto,9840527.406949418
2023,H,Ensino médio completo ou superior incompleto,25824645.806588445
2023,H,Ensino superior completo,10945223.7246713
2023,M,Sem instrução ou fundamental incompleto,7239598.577239984
2023,M,Ensino fundamental completo ou médio incompleto,6016277.077745209
2023,M,Ensino médio completo ou superior incompleto,21364685.63434036
2023,M,Ensino superior completo,13220700.9646612
